[16-5-2014 09:39:48] Loaded CFG file c:\TimetrackerMonitor\config.txt
[16-5-2014 09:39:48] directory separator: \
[16-5-2014 09:39:48] Adding item: Monitor
[16-5-2014 09:39:48] Adding item: Sounds
[16-5-2014 09:39:49] Adding item: TimeTracker
[16-5-2014 09:40:10] monitored OFF time: 0
[16-5-2014 09:41:14] monitored OFF time: 1
[16-5-2014 09:42:18] monitored OFF time: 2
[16-5-2014 09:43:22] monitored OFF time: 3
[16-5-2014 09:44:26] monitored OFF time: 4
[16-5-2014 09:45:29] monitored OFF time: 5
[16-5-2014 09:46:33] monitored OFF time: 6
[16-5-2014 09:47:37] monitored OFF time: 7
[16-5-2014 09:48:41] monitored OFF time: 8
[16-5-2014 09:49:45] monitored OFF time: 9
[16-5-2014 09:50:48] monitored OFF time: 10
[16-5-2014 09:51:52] monitored OFF time: 11
[16-5-2014 09:52:56] monitored OFF time: 12
[16-5-2014 09:54:00] monitored OFF time: 13
[16-5-2014 09:55:03] monitored OFF time: 14
[16-5-2014 09:56:07] monitored OFF time: 15
[16-5-2014 09:57:11] monitored OFF time: 16
[16-5-2014 09:58:15] monitored OFF time: 17
[16-5-2014 09:59:18] monitored OFF time: 18
[16-5-2014 10:00:22] monitored OFF time: 19
[16-5-2014 10:01:26] monitored OFF time: 20
[16-5-2014 10:02:30] monitored OFF time: 21
[16-5-2014 10:03:33] monitored OFF time: 22
[16-5-2014 10:04:37] monitored OFF time: 23
[16-5-2014 10:05:41] monitored OFF time: 24
[16-5-2014 10:06:45] monitored OFF time: 25
[16-5-2014 10:07:48] monitored OFF time: 26
[16-5-2014 10:08:52] monitored OFF time: 27
[16-5-2014 10:09:56] monitored OFF time: 28
[16-5-2014 10:11:00] monitored OFF time: 29
[16-5-2014 10:12:03] monitored OFF time: 30
[16-5-2014 10:13:07] monitored OFF time: 31
[16-5-2014 10:14:11] monitored OFF time: 32
[16-5-2014 10:15:14] monitored OFF time: 33
[16-5-2014 10:16:18] monitored OFF time: 34
[16-5-2014 10:17:22] monitored OFF time: 35
[16-5-2014 10:18:26] monitored OFF time: 36
[16-5-2014 10:19:29] monitored OFF time: 37
[16-5-2014 10:20:33] monitored OFF time: 38
[16-5-2014 10:21:37] monitored OFF time: 39
[16-5-2014 10:22:40] monitored OFF time: 40
[16-5-2014 10:23:44] monitored OFF time: 41
[16-5-2014 10:24:48] monitored OFF time: 42
[16-5-2014 10:25:52] monitored OFF time: 43
[16-5-2014 10:26:55] monitored OFF time: 44
[16-5-2014 10:27:59] monitored OFF time: 45
[16-5-2014 10:29:03] monitored OFF time: 46
[16-5-2014 10:30:07] monitored OFF time: 47
[16-5-2014 10:31:10] monitored OFF time: 48
[16-5-2014 10:32:14] monitored OFF time: 49
[16-5-2014 10:33:18] monitored OFF time: 50
[16-5-2014 10:34:21] monitored OFF time: 51
[16-5-2014 10:35:25] monitored OFF time: 52
[16-5-2014 10:36:29] monitored OFF time: 53
[16-5-2014 10:37:33] monitored OFF time: 54
[16-5-2014 10:38:38] monitored OFF time: 55
[16-5-2014 10:39:42] monitored OFF time: 56
[16-5-2014 10:40:45] monitored OFF time: 57
[16-5-2014 10:41:49] monitored OFF time: 58
[16-5-2014 10:42:53] monitored OFF time: 59
[16-5-2014 10:43:57] monitored OFF time: 60
[16-5-2014 10:45:00] monitored OFF time: 61
